proyecto_ley,titulo,estado,fecha_presentacion,proponente,autores,search_term,sumilla,comisiones,url_detalle
03575/2022-CR,LEY QUE FORTALECE LA PROTECCIÓN DE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD E INTEGRANTES DE LA POBLACIÓN LGTBIQ+ EN LOS CONTROLES DE IDENTIFICACIÓN POLICIAL Y CONTROLES POLICIALES PÚBLICOS REALIZADOS POR LA POLICÍA NACIONAL DEL PERÚ,DICTAMEN,2022-11-17T00:00:00.000-0500,Congreso,"Kamiche Morante, Luis Roberto; Limachi Quispe, Nieves Esmeralda; Echeverría Rodríguez, Hamlet; Chávez Chino, Betssy Betzabet; Bermejo Rojas, Guillermo",LGTBI,PROPONE FORTALECER LA PROTECCIÓN DE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD E INTEGRANTES DE LA POBLACIÓN LGTBIQ+ EN LOS CONTROLES DE IDENTIFICACIÓN POLICIAL Y CONTROLES POLICIALES PÚBLICOS REALIZADOS POR LA POLICÍA NACIONAL DEL PERÚ.,['Justicia y Derechos Humanos'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/3575
05896/2023-CR,"LEY QUE PROHÍBE LOS ESFUERZOS QUE PRETENDAN CAMBIAR LA ORIENTACIÓN SEXUAL, IDENTIDAD DE GÉNERO O EXPRESIÓN DE GÉNERO O ATENTEN CONTRA LA LIBRE AUTODETERMINACIÓN DE LAS PERSONAS",EN COMISIÓN,2023-09-12T00:00:00.000-0500,Congreso-Actualización,,identidad de género,"PROPONE ESTABLECER EL MARCO LEGAL QUE PROHÍBE LOS ESFUERZOS DE CAMBIO DE LA ORIENTACIÓN SEXUAL, IDENTIDAD DE GÉNERO O EXPRESIÓN DE GÉNERO EL EJERCICIO O ATENTEN CONTRA LA LIBRE AUTODETERMINACIÓN DE LAS PERSONAS; GARANTIZANDO EL EJERCICIO PLENO DEL DERECHO A LA SALUD MENTAL SIN DISCRIMINACIÓN POR RAZONES DE ORIGEN, RAZA, RELIGIÓN, SEXO, ORIENTACIÓN SEXUAL, IDENTIDAD DE GÉNERO, EXPRESIÓN DE GÉNERO, EDAD, DISCAPACIDAD, IDENTIDAD ÉTNICA Y CULTURAL, CONDICIÓN ECONÓMICA, O DE CUALQUIER OTRA ÍNDOLE, DE TODAS LAS PERSONAS Y COMUNIDADES QUE SE ENCUENTREN EN TERRITORIO PERUANO, CONFORME A LO DISPUESTO POR EL ARTÍCULO 7 DE LA CONSTITUCIÓN POLÍTICA.
","['Justicia y Derechos Humanos', 'Salud y Población']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5896
02194/2021-CR,LEY DE IDENTIDAD DE GÉNERO,EN COMISIÓN,2022-05-30T00:00:00.000-0500,Congreso-Actualización,,identidad de género,Propone Ley de Identidad de Género.,['Constitución y Reglamento'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/2194
02194/2021-CR,LEY DE IDENTIDAD DE GÉNERO,EN COMISIÓN,2022-05-30T00:00:00.000-0500,Congreso-Actualización,,ley de identidad de género,Propone Ley de Identidad de Género.,['Constitución y Reglamento'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/2194
05584/2022-CR,LEY QUE ESTABLECE LAS UNIONES CIVILES ENTRE PAREJAS DEL MISMO SEXO,EN COMISIÓN,2023-07-17T00:00:00.000-0500,Congreso,"Moyano Delgado, Martha Lupe; Morante Figari, Jorge Alberto; Guerra García Campos, Hernando; Olivos Martínez, Vivian; Alegría García, Arturo; Lizarzaburu Lizarzaburu, Juan Carlos Martin",del mismo sexo,PROPONE ESTABLECER LAS UNIONES CIVILES ENTRE PAREJAS DEL MISMO SEXO.,"['Constitución y Reglamento', 'Justicia y Derechos Humanos']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5584
05896/2023-CR,"LEY QUE PROHÍBE LOS ESFUERZOS QUE PRETENDAN CAMBIAR LA ORIENTACIÓN SEXUAL, IDENTIDAD DE GÉNERO O EXPRESIÓN DE GÉNERO O ATENTEN CONTRA LA LIBRE AUTODETERMINACIÓN DE LAS PERSONAS",EN COMISIÓN,2023-09-12T00:00:00.000-0500,Congreso-Actualización,,orientación sexual,"PROPONE ESTABLECER EL MARCO LEGAL QUE PROHÍBE LOS ESFUERZOS DE CAMBIO DE LA ORIENTACIÓN SEXUAL, IDENTIDAD DE GÉNERO O EXPRESIÓN DE GÉNERO EL EJERCICIO O ATENTEN CONTRA LA LIBRE AUTODETERMINACIÓN DE LAS PERSONAS; GARANTIZANDO EL EJERCICIO PLENO DEL DERECHO A LA SALUD MENTAL SIN DISCRIMINACIÓN POR RAZONES DE ORIGEN, RAZA, RELIGIÓN, SEXO, ORIENTACIÓN SEXUAL, IDENTIDAD DE GÉNERO, EXPRESIÓN DE GÉNERO, EDAD, DISCAPACIDAD, IDENTIDAD ÉTNICA Y CULTURAL, CONDICIÓN ECONÓMICA, O DE CUALQUIER OTRA ÍNDOLE, DE TODAS LAS PERSONAS Y COMUNIDADES QUE SE ENCUENTREN EN TERRITORIO PERUANO, CONFORME A LO DISPUESTO POR EL ARTÍCULO 7 DE LA CONSTITUCIÓN POLÍTICA.
","['Justicia y Derechos Humanos', 'Salud y Población']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5896
02803/2022-CR,LEY QUE ESTABLECE LA UNIÓN CIVIL,Orden del Día,2022-08-15T00:00:00.000-0500,Congreso,"Cavero Alva, Alejandro Enrique; Williams Zapata, José Daniel; Tudela Gutiérrez, Adriana Josefina; Yarrow Lumbreras, Norma Martina; Córdova Lobatón, María Jessica; Gonzales Delgado, Diana Carolina; Chirinos Venegas, Patricia Rosa; Bazán Calderón, Diego Alonso Fernando",unión civil,PROPONE ESTABLECER LA UNIÓN CIVIL.,['Justicia y Derechos Humanos'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/2803
04228/2022-CR,LEY QUE SANCIONA LOS CRÍMENES DE ODIO,EN COMISIÓN,2023-02-10T00:00:00.000-0500,Congreso,"Paredes Piqué, Susel Ana María",crímenes de odio,"PROPONE MODIFICAR LOS ARTÍCULOS 46°, 108, 121 Y 122 DEL CÓDIGO PENAL.",['Justicia y Derechos Humanos'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/4228
07467/2023-CR,"LEY QUE TIPIFICA LOS DELITOS DE ODIO EN EL DECRETO LEGISLATIVO N° 635, CÓDIGO PENAL",EN COMISIÓN,2024-04-04T00:00:00.000-0500,Congreso,"Gonza Castillo, Américo; Palacios Huamán, Margot; Portalatino Ávalos, Kelly Roxana; Agüero Gutiérrez, María Antonieta; Cerrón Rojas, Waldemar José; Cruz Mamani, Flavio; Taipe Coronado, María Elizabeth",delitos de odio,"PROPONE TIPIFICAR LOS DELITOS DE ODIO EN EL DECRETO LEGISLATIVO N° 635, CÓDIGO PENAL.
",['Justicia y Derechos Humanos'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/7467
12352/2025-CR,"PROYECTO DE LEY QUE PROMUEVE LA APLICACIÓN DEL PRINCIPIO DE IGUALDAD Y NO DISCRIMINACIÓN EN LA REMUNERACIÓN ENTRE FISCALES PROVISIONALES Y FISCALES TITULARES.
",EN COMISIÓN,2025-09-09T00:00:00.000-0500,Congreso,"Coayla Juárez, Jorge Samuel; Sánchez Palomino, Roberto Helbert; Varas Meléndez, Elías Marcial; Ugarte Mamani, Jhakeline Katy; Tacuri Valdivia, Germán Adolfo; Quispe Mamani, Wilson Rusbel",no discriminación,"PROPONE LA APLICACIÓN DEL PRINCIPIO DE IGUALDAD Y NO DISCRIMINACIÓN EN LA REMUNERACIÓN ENTRE FISCALES PROVISIONALES Y FISCALES TITULARES DEL MINISTERIO PÚBLICO”. SE INCORPORA, EN LO PERTINENTE, EL MANDATO CONSTITUCIONAL DE IGUALDAD ANTE LA LEY Y LOS PRINCIPIOS LABORALES DE IGUALDAD DE OPORTUNIDADES E IGUALDAD SALARIAL. LA PRESENTE LEY TIENE POR OBJETO CUMPLIR CON EL PRINCIPIO DE IGUALDAD Y NO DISCRIMINACIÓN EN LA REMUNERACIÓN BÁSICA, LA BONIFICACIÓN POR FUNCIÓN FISCAL, EL INCREMENTO DE LA BONIFICACIÓN POR FUNCIÓN, LA BONIFICACIÓN ADICIONAL, LOS GASTOS OPERATIVOS Y DEMÁS BENEFICIOS CONEXOS; DISPONIÉNDOSE QUE LOS COMPONENTES APLICABLES A LOS FISCALES PROVISIONALES SE EQUIPAREN AL 100% RESPECTO DE LOS QUE PERCIBEN LOS FISCALES TITULARES DEL MISMO NIVEL.
","['Presupuesto y Cuenta General de la República', 'Justicia y Derechos Humanos']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/12352
12337/2025-CR,PROYECTO DE LEY QUE PROMUEVE LA APLICACIÓN DEL PRINCIPIO DE IGUALDAD Y NO DISCRIMINACION EN LA REMUNERACIÓN ENTRE JUECES SUPERNUMERARIOS CON LOS JUECES TITULARES,EN COMISIÓN,2025-09-05T00:00:00.000-0500,Congreso,"Coayla Juárez, Jorge Samuel; Sánchez Palomino, Roberto Helbert; Echeverría Rodríguez, Hamlet; Varas Meléndez, Elías Marcial; Ugarte Mamani, Jhakeline Katy; Limachi Quispe, Nieves Esmeralda",no discriminación,"TITÚLESE EL PRESENTE CUERPO LEGAL COMO “LEY QUE PROMUEVE LA APLICACIÓN DEL PRINCIPIO DE IGUALDAD Y NO DISCRIMINACIÓN EN LA REMUNERACIÓN ENTRE JUECES SUPERNUMERARIOS Y JUECES TITULARES DEL PODER JUDICIAL”. SE INCORPORA, EN TODO LO PERTINENTE, EL MANDATO CONSTITUCIONAL DE IGUALDAD ANTE LA LEY Y LOS PRINCIPIOS LABORALES DE IGUALDAD DE OPORTUNIDADES E IGUALDAD SALARIAL","['Presupuesto y Cuenta General de la República', 'Justicia y Derechos Humanos']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/12337
12028/2025-CR,"PROYECTO DE LEY QUE PROMUEVE LA EDUCACIÓN INCLUSIVA DE CALIDAD EN EL NIVEL UNIVERSITARIO EN EL PERÚ
",EN COMISIÓN,2025-08-05T00:00:00.000-0500,Congreso,"Acuña Peralta, María Grimaneza; Soto Reyes, Alejandro; Cordero Jon Tay, Luis Gustavo; Heidinger Ballesteros, Nelcy Lidia; García Correa, Idelso Manuel; Lizarzaburu Lizarzaburu, Juan Carlos Martin",no discriminación,"PROPONE  PROMOVER Y REGULAR LA EDUCACIÓN INCLUSIVA DE CALIDAD EN EL NIVEL UNIVERSITARIO EN EL PERÚ, GARANTIZANDO LA IGUALDAD DE OPORTUNIDADES Y CONDICIONES PARA EL ACCESO, PERMANENCIA, DESARROLLO ACADÉMICO, EGRESO Y EMPLEABILIDAD DE ESTUDIANTES CON DISCAPACIDAD, NECESIDADES EDUCATIVAS ESPECIALES ASOCIADAS A DISCAPACIDAD, Y OTRAS CONDICIONES DE VULNERABILIDAD QUE AFECTEN SU PARTICIPACIÓN PLENA EN EL SISTEMA UNIVERSITARIO, BAJO LOS PRINCIPIOS DE EQUIDAD, EXCELENCIA ACADÉMICA, ACCESIBILIDAD UNIVERSAL, NO DISCRIMINACIÓN Y PERTINENCIA.
","['Educación, Juventud y Deporte']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/12028
09990/2024-CR,LEY QUE ESTABLECE EL ADELANTO DE LA COMPENSACIÓN POR TIEMPO DE SERVICIOS PARA LOS TRABAJADORES ADMINISTRATIVOS DEL DECRETO LEGISLATIVO 276,EN COMISIÓN,2025-01-20T00:00:00.000-0500,Congreso,"Dávila Atanacio, Pasión Neomías; Flores Ramírez, Alex Randu; Pariona Sinche, Alfredo; Robles Araujo, Silvana Emperatriz; Quito Sarmiento, Bernardo Jaime",no discriminación,"PROPONE ESTABLECER EL ADELANTO DE LA COMPENSACIÓN POR TIEMPO DE SERVICIOS (CTS) PARA LOS TRABAJADORES ADMINISTRATIVOS SUJETOS AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO 276, CON LA FINALIDAD DE ATENDER NECESIDADES ECONÓMICAS URGENTES DERIVADAS DEL ACTUAL CONTEXTO ECONÓMICO, GARANTIZANDO EL PRINCIPIO DE IGUALDAD Y NO DISCRIMINACIÓN EN EL ACCESO A ESTE BENEFICIO SOCIAL","['Presupuesto y Cuenta General de la República', 'Trabajo y Seguridad Social']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/9990
07795/2023-CR,LEY QUE HOMOLOGA LA REMUNERACIÓN DE LOS TRABAJADORES DEL SECTOR PÚBLICO PARA MATERIALIZAR EL PRINCIPIO DE IGUALDAD Y NO DISCRIMINACIÓN,EN COMISIÓN,2024-05-09T00:00:00.000-0500,Congreso,"Soto Palacios, Wilson; Vergara Mendoza, Elvis Hernán; López Ureña, Ilich Fredy; Espinoza Vargas, Jhaec Darwin; Flores Ancachi, Jorge Luis; Aragón Carreño, Luis Ángel",no discriminación,"PROPONE HOMOLOGAR LA REMUNERACIÓN DE LOS TRABAJADORES DEL ESTADO, PARA EVITAR LA DISCRIMINACIÓN SALARIAL, SIN IMPORTAR LA PERTENENCIA A LOS REGÍMENES LABORALES DEL DECRETO LEGISLATIVO 276, DECRETO LEGISLATIVO 728, DECRETO LEGISLATIVO 1057, O LA LEY 30057, CON LA FINALIDAD DE MATERIALIZAR EL DERECHO FUNDAMENTAL A LA IGUALDAD DE LA REMUNERACIÓN POR IGUAL TRABAJO.
",['Presupuesto y Cuenta General de la República'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/7795
06861/2023-CR,LEY QUE ESTABLECE MEDIDAS PARA PROMOVER LA PROTECCIÓN A LOS TRABAJADORES CON CANCER FRENTE A DESPIDOS ARBITRARIOS,Publicada en el Diario Oficial El Peruano,2024-01-24T00:00:00.000-0500,Congreso,"Portero López, Hilda Marleny; Aragón Carreño, Luis Ángel; Vergara Mendoza, Elvis Hernán; Espinoza Vargas, Jhaec Darwin; Doroteo Carbajo, Raúl Felipe; Soto Palacios, Wilson",no discriminación,"PROPONE ESTABLECER MEDIDAS PARA PROMOVER LA PROTECCIÓN A LOS TRABAJADORES PÚBLICOS Y PRIVADOS CON DIAGNÓSTICO DE CÁNCER A TRAVÉS MEDIDAS CONTRA EL DESPIDO ARBITRARIO Y OTRAS QUE GARANTICEN LA NO DISCRIMINACIÓN, EL TRABAJO DIGNO Y EL CUMPLIMIENTO DE MEDIDAS LABORALES QUE LES PERMITAN REALIZAR EL TRATAMIENTO TERAPÉUTICO EN EL MARCO DEL RESPETO A SU DIGNIDAD.
",['Trabajo y Seguridad Social'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/6861
06633/2023-CR,LEY QUE INCORPORA A LOS TRABAJADORES DEL PODER JUDICIAL BAJO EL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO N° 1057- CONTRATO ADMINISTRATIVO DE SERVICIOS — CAS AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO N° 728,DICTAMEN,2023-12-12T00:00:00.000-0500,Congreso,"Camones Soriano, Lady Mercedes; Chiabra León, Roberto Enrique; García Correa, Idelso Manuel; Salhuana Cavides, Eduardo; Julón Irigoín, Elva Edhit; Ruíz Rodríguez, Magaly Rosmery; Acuña Peralta, María Grimaneza",no discriminación,"PROPONE INCORPORAR AL PERSONAL JURISDICCIONAL Y ADMINISTRATIVO, QUE LABORA EN EL PODER JUDICIAL A PLAZO INDETERMINADO, BAJO EL RÉGIMEN DEL DECRETO LEGISLATIVO N° 1057 - RÉGIMEN ESPECIAL DE CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS (CAS), AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO N° 728 - LEY DE PRODUCTIVIDAD Y COMPETITIVIDAD LABORAL, EN RECONOCIMIENTO AL DERECHO DE
IGUALDAD Y NO DISCRIMINACIÓN EN LAS LABORES QUE SE REALIZAN EN TODAS LAS SEDES DEL PODER JUDICIAL.
","['Presupuesto y Cuenta General de la República', 'Justicia y Derechos Humanos']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/6633
06463/2023-CR,LEY DE GARANTÍA DEL DERECHO A LA PARTICIPACIÓN EN LAS UTILIDADES,EN COMISIÓN,2023-11-20T00:00:00.000-0500,Congreso,"Cortez Aguirre, Isabel; Bazán Narro, Sigrid Tesoro; Martínez Talavera, Pedro Edwin; Luque Ibarra, Ruth; Echeverría Rodríguez, Hamlet; Kamiche Morante, Luis Roberto; Sánchez Palomino, Roberto Helbert; Robles Araujo, Silvana Emperatriz; Palacios Huamán, Margot; Cutipa Ccama, Víctor Raúl",no discriminación,"LA PRESENTE LEY TIENE POR OBJETO GARANTIZAR EL DERECHO DE LOS TRABAJADORES A LA PARTICIPACIÓN EN LAS UTILIDADES EN CUMPLIMIENTO DE LOS PRINCIPIOS PROTECTORES, DE IGUALDAD Y NO DISCRIMINACIÓN Y DE PRIMACÍA DE LA REALIDAD. EN PARTICULAR, SE CUMPLA CON UNA APLICACIÓN ADECUADA DE ESTE DERECHO EN LOS CASOS DE GRUPO DE EMPRESAS O NUEVAS FORMAS DE ORGANIZACIÓN EMPRESARIAL; ASÍ COMO ACLARAR EL PORCENTAJE DE LA PARTICIPACIÓN DE LOS TRABAJADORES EN EL SECTOR HIDROCARBUROS. ","['Economía, Banca, Finanzas e Inteligencia Financiera', 'Trabajo y Seguridad Social']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/6463
06136/2023-CR,LEY DE LA ECONOMÍA DIGITAL,EN COMISIÓN,2023-10-13T00:00:00.000-0500,Congreso,"Flores Ancachi, Jorge Luis; Soto Palacios, Wilson; Doroteo Carbajo, Raúl Felipe; Vergara Mendoza, Elvis Hernán; Espinoza Vargas, Jhaec Darwin; Aragón Carreño, Luis Ángel",no discriminación,"PROPONE ESTABLECER UN MARCO REGULATORIO PARA LA PRESTACIÓN DE SERVICIOS POR CANALES DIGITALES, GARANTIZANDO LOS PRINCIPIOS DE NO DISCRIMINACIÓN, NEUTRALIDAD, SEGURIDAD DIGITAL Y EQUIVALENCIA FUNCIONAL.
","['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'Educación, Juventud y Deporte']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/6136
05790/2023-CR,LEY DEL DERECHO AL OLVIDO ONCOLOGICO,Publicada en el Diario Oficial El Peruano,2023-08-31T00:00:00.000-0500,Congreso,"Heidinger Ballesteros, Nelcy Lidia; Chiabra León, Roberto Enrique; Salhuana Cavides, Eduardo; Soto Reyes, Alejandro; García Correa, Idelso Manuel; Trigozo Reátegui, Cheryl; Julón Irigoín, Elva Edhit",no discriminación,"PROPONE ESTABLECER EL DERECHO AL OLVIDO ONCOLÓGICO COMO UNA HERRAMIENTA LEGAL QUE GARANTICE LA IGUALDAD Y NO DISCRIMINACIÓN DE LAS PERSONAS QUE SUPERARON UNA ENFERMEDAD ONCOLÓGICA AL MOMENTO DE REINSERTARSE A LA VIDA SOCIAL Y ECONÓMICA.
","['Economía, Banca, Finanzas e Inteligencia Financiera', 'Salud y Población']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5790
05544/2022-CR,LEY DE NO DISCRIMINACIÓN A LOS DOCENTES UNIVERSITARIOS CON ESTUDIOS DE DOCTORADO VIRTUAL.,EN COMISIÓN,2023-07-11T00:00:00.000-0500,Congreso,"Ugarte Mamani, Jhakeline Katy",no discriminación,PROPONE LEY DE NO DISCRIMINACIÓN A LOS DOCENTES UNIVERSITARIOS CON ESTUDIOS DE DOCTORADO VIRTUAL.,"['Educación, Juventud y Deporte']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5544
04439/2022-CR,LEY QUE REGULA EL ORDEN DE PRELACIÓN DE LOS APELLIDOS,DICTAMEN,2023-03-09T00:00:00.000-0500,Congreso,"Calle Lobatón, Digna; Luna Gálvez, José León; Alcarraz Agüero, Yorel Kira; Zeballos Madariaga, Carlos Javier",no discriminación,"PROPONE REGULAR EL ORDEN DE PRELACIÓN DE LOS APELLIDOS MEDIANTE LA MODIFICACIÓN DEL ARTÍCULO 20 DEL DECRETO LEGISLATIVO 635, CÓDIGO CIVIL, A FIN DE GARANTIZAR EL DERECHO FUNDAMENTAL DE LA IGUALDAD Y NO DISCRIMINACIÓN POR RAZÓN DE SEXO.
",['Justicia y Derechos Humanos'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/4439
